Mes,ROI_IA,Processos_Automatizados,Economia_Custos,Satisfacao_Cliente,Taxa_Precisao,Disponibilidade,Usuarios_Ativos,Novos_Casos_Uso
Jan,45,2,120,3.8,92,99.2,450,0
Fev,78,3,180,4.1,94,99.4,680,1
Mar,125,4,250,4.2,95,99.6,890,1
Abr,165,5,320,4.3,96,99.5,1120,2
Mai,198,6,450,4.2,95,99.7,1247,1
Jun,245,8,580,4.2,97,99.8,1380,2
Jul,280,10,720,4.4,96,99.6,1520,1
Ago,315,12,850,4.5,97,99.8,1650,2
Set,350,14,980,4.6,98,99.7,1780,1
Out,385,16,1120,4.7,97,99.9,1920,2
Nov,420,18,1250,4.8,98,99.8,2050,1
Dez,455,20,1380,4.9,98,99.9,2180,3

